feature,x,y
prior_output,55.0,-1.6105
prior_output,55.5,-1.5748
prior_output,58.0,-1.5089
prior_output,60.5,-1.456
prior_output,62.5,-1.3769
prior_output,65.0,-1.2598
prior_output,67.0,-1.1391
prior_output,68.5,-0.9732
prior_output,70.0,0.3657
prior_output,72.0,0.495
prior_output,74.5,0.5691
prior_output,77.0,0.6422
prior_output,78.5,0.6995
prior_output,80.0,0.7786
prior_output,81.5,0.852
prior_output,83.0,0.9211
prior_output,85.0,0.9948
prior_output,87.0,1.057
prior_output,88.5,1.1213
prior_output,90.5,1.1721
prior_output,93.5,1.2308
academic_reputation,54.0,-1.6149
academic_reputation,55.5,-1.544
academic_reputation,57.5,-1.472
academic_reputation,58.5,-1.3999
academic_reputation,60.5,-1.322
academic_reputation,63.0,-1.2278
academic_reputation,65.0,-1.1585
academic_reputation,66.5,-0.9707
academic_reputation,69.0,0.3634
academic_reputation,72.0,0.4677
academic_reputation,73.5,0.5532
academic_reputation,76.5,0.6182
academic_reputation,79.5,0.6975
academic_reputation,80.5,0.7849
academic_reputation,81.5,0.861
academic_reputation,82.5,0.9142
academic_reputation,84.0,0.9665
academic_reputation,85.5,1.0304
academic_reputation,87.5,1.088
academic_reputation,89.5,1.1523
academic_reputation,91.5,1.2123
team_diversity,62.0,-1.5521
team_diversity,63.5,-1.4855
team_diversity,66.5,-1.411
team_diversity,68.5,-1.3261
team_diversity,69.5,-1.2455
team_diversity,70.5,-1.1325
team_diversity,71.5,0.2521
team_diversity,72.5,0.4152
team_diversity,73.5,0.5246
team_diversity,74.5,0.5992
team_diversity,75.5,0.6708
team_diversity,76.5,0.744
team_diversity,77.5,0.8363
team_diversity,79.0,0.8963
team_diversity,80.5,0.9789
team_diversity,82.0,1.0474
team_diversity,83.5,1.1179
team_diversity,85.0,1.1933
team_diversity,87.0,1.2548
proposal_innovation,57.0,-1.1193
proposal_innovation,58.5,-1.0699
proposal_innovation,61.5,-0.9935
proposal_innovation,64.0,-0.9255
proposal_innovation,66.5,-0.8464
proposal_innovation,70.0,-0.7537
proposal_innovation,72.5,-0.6407
proposal_innovation,73.5,-0.1208
proposal_innovation,74.5,-0.0397
proposal_innovation,75.5,0.1366
proposal_innovation,78.0,0.2341
proposal_innovation,80.5,0.3129
proposal_innovation,81.5,0.3924
proposal_innovation,82.5,0.4726
proposal_innovation,83.5,0.5418
proposal_innovation,85.5,0.6124
proposal_innovation,88.5,0.6771
proposal_innovation,90.5,0.7483
proposal_innovation,92.0,0.8191
proposal_innovation,93.5,0.885
budget_rationality,60.0,-1.6642
budget_rationality,61.0,-1.5995
budget_rationality,62.5,-1.5444
budget_rationality,63.5,-1.455
budget_rationality,64.5,-1.3648
budget_rationality,65.5,-1.2694
budget_rationality,66.5,-1.1493
budget_rationality,69.5,-0.9306
budget_rationality,73.0,0.4468
budget_rationality,75.5,0.5736
budget_rationality,77.5,0.6651
budget_rationality,78.5,0.748
budget_rationality,79.5,0.808
budget_rationality,80.5,0.8798
budget_rationality,81.5,0.9455
budget_rationality,83.0,1.0088
budget_rationality,85.5,1.0694
budget_rationality,88.0,1.1467
budget_rationality,89.5,1.2125
evidence_traceability,55.0,-1.6015
evidence_traceability,56.5,-1.5378
evidence_traceability,58.5,-1.4575
evidence_traceability,61.0,-1.3564
evidence_traceability,63.5,-1.2739
evidence_traceability,66.0,-1.1714
evidence_traceability,68.5,-0.9522
evidence_traceability,70.5,0.3641
evidence_traceability,73.5,0.4811
evidence_traceability,77.5,0.5607
evidence_traceability,80.5,0.6356
evidence_traceability,81.5,0.7213
evidence_traceability,82.5,0.8036
evidence_traceability,83.5,0.8566
evidence_traceability,85.0,0.9304
evidence_traceability,87.5,0.9908
evidence_traceability,90.0,1.0561
evidence_traceability,91.5,1.1193
evidence_traceability,93.0,1.1826
evidence_traceability,95.0,1.25
explainability,56.0,-1.6043
explainability,57.0,-1.5538
explainability,59.5,-1.4744
explainability,61.5,-1.3975
explainability,63.5,-1.3263
explainability,65.5,-1.2373
explainability,66.5,-1.1458
explainability,68.0,-0.9554
explainability,71.0,0.3339
explainability,74.0,0.4623
explainability,76.0,0.563
explainability,77.5,0.6327
explainability,78.5,0.7257
explainability,80.0,0.7829
explainability,81.5,0.8393
explainability,83.0,0.9078
explainability,86.5,0.9792
explainability,89.5,1.0272
explainability,90.5,1.0848
explainability,92.5,1.1476
explainability,94.5,1.2084
task_risk,0.28,1.2507
task_risk,0.29000000000000004,1.1857
task_risk,0.305,1.127
task_risk,0.32999999999999996,1.074
task_risk,0.38,1.0025
task_risk,0.415,0.9354
task_risk,0.425,0.8716
task_risk,0.435,0.8114
task_risk,0.445,0.7314
task_risk,0.45999999999999996,0.66
task_risk,0.48,0.5672
task_risk,0.5,0.4913
task_risk,0.515,0.3297
task_risk,0.535,-0.9384
task_risk,0.555,-1.215
task_risk,0.565,-1.3154
task_risk,0.59,-1.3885
task_risk,0.615,-1.4648
task_risk,0.63,-1.5147
task_risk,0.665,-1.5709
task_risk,0.73,-1.6301
ai_literacy,0.53,-1.5999
ai_literacy,0.535,-1.546
ai_literacy,0.565,-1.4947
ai_literacy,0.595,-1.4113
ai_literacy,0.62,-1.3451
ai_literacy,0.645,-1.2607
ai_literacy,0.655,-1.1496
ai_literacy,0.665,-0.9984
ai_literacy,0.6950000000000001,0.3463
ai_literacy,0.725,0.4825
ai_literacy,0.735,0.5774
ai_literacy,0.755,0.6519
ai_literacy,0.785,0.725
ai_literacy,0.805,0.7813
ai_literacy,0.815,0.8538
ai_literacy,0.835,0.8962
ai_literacy,0.855,0.971
ai_literacy,0.88,1.0394
ai_literacy,0.905,1.0966
ai_literacy,0.92,1.1619
ai_literacy,0.935,1.2223
org_norm_clarity,0.48,-1.6634
org_norm_clarity,0.49,-1.6049
org_norm_clarity,0.53,-1.5296
org_norm_clarity,0.565,-1.4747
org_norm_clarity,0.585,-1.4106
org_norm_clarity,0.625,-1.3239
org_norm_clarity,0.66,-1.1969
org_norm_clarity,0.6799999999999999,-0.9412
org_norm_clarity,0.7,0.3865
org_norm_clarity,0.715,0.5119
org_norm_clarity,0.74,0.5978
org_norm_clarity,0.765,0.665
org_norm_clarity,0.775,0.7504
org_norm_clarity,0.785,0.8224
org_norm_clarity,0.795,0.8818
org_norm_clarity,0.81,0.9415
org_norm_clarity,0.83,1.0024
org_norm_clarity,0.855,1.0592
org_norm_clarity,0.88,1.1261
org_norm_clarity,0.9,1.1713
org_norm_clarity,0.915,1.229
human_review_score,55.0,-1.5889
human_review_score,56.5,-1.5285
human_review_score,59.0,-1.4359
human_review_score,60.5,-1.3652
human_review_score,63.5,-1.2974
human_review_score,67.0,-1.1752
human_review_score,69.0,-0.9593
human_review_score,72.0,0.3335
human_review_score,74.5,0.4837
human_review_score,77.0,0.5693
human_review_score,79.5,0.6701
human_review_score,81.0,0.742
human_review_score,83.0,0.8199
human_review_score,84.5,0.8848
human_review_score,86.0,0.9604
human_review_score,88.0,1.0328
human_review_score,89.5,1.092
human_review_score,91.5,1.1613
human_review_score,93.5,1.228
ai_recommendation,0.51,-1.5935
ai_recommendation,0.515,-1.5452
ai_recommendation,0.5449999999999999,-1.4952
ai_recommendation,0.575,-1.4213
ai_recommendation,0.61,-1.3541
ai_recommendation,0.645,-1.2776
ai_recommendation,0.655,-1.1714
ai_recommendation,0.67,-0.942
ai_recommendation,0.72,0.3258
ai_recommendation,0.77,0.4583
ai_recommendation,0.8049999999999999,0.537
ai_recommendation,0.835,0.6262
ai_recommendation,0.845,0.7048
ai_recommendation,0.86,0.7834
ai_recommendation,0.875,0.8684
ai_recommendation,0.885,0.951
ai_recommendation,0.9,1.0034
ai_recommendation,0.925,1.0557
ai_recommendation,0.955,1.1091
ai_recommendation,0.975,1.1693
ai_recommendation,0.985,1.2079
trust_score,0.45,-1.6468
trust_score,0.455,-1.5967
trust_score,0.495,-1.5327
trust_score,0.54,-1.458
trust_score,0.585,-1.391
trust_score,0.625,-1.2953
trust_score,0.635,-1.1936
trust_score,0.645,-0.9809
trust_score,0.6950000000000001,0.393
trust_score,0.745,0.5415
trust_score,0.77,0.5991
trust_score,0.795,0.6733
trust_score,0.81,0.7425
trust_score,0.83,0.8078
trust_score,0.85,0.8596
trust_score,0.865,0.9334
trust_score,0.875,0.9979
trust_score,0.9,1.0536
trust_score,0.9299999999999999,1.1048
trust_score,0.955,1.1721
trust_score,0.975,1.2164
