application_id,discipline,papers_5y,citations_5y,h_index,research_years,prior_grants,institution_tier,overseas_experience,age_group,novelty_score,feasibility_score,frontier_score,methodology_score,expected_impact,budget_reasonableness,project_risk,data_availability,ethics_compliance,team_size,interdisciplinarity,collaboration_strength,platform_support,true_funding_probability,funded
APP-0001,管理科学,7,72,5,4,0,省部级重点单位,短期交流,青年,65.71,82.42,71.51,61.2,83.43,59.55,36.5,80.2,92.85,6,64.81,42.65,71.67,0.13394,0
APP-0002,信息科学,11,112,7,6,0,双一流/国家级平台,短期交流,中青年,94.33,70.84,59.93,78.28,69.8,98.86,64.71,65.33,70.98,5,43.58,55.81,63.74,0.48966,1
APP-0003,交叉学科,11,247,14,11,1,普通高校/机构,无,中青年,68.48,81.41,60.35,38.96,80.12,94.62,39.09,68.4,86.4,6,79.74,97.01,82.94,0.54215,0
APP-0004,管理科学,7,55,11,9,1,普通高校/机构,短期交流,中青年,87.52,88.26,44.94,65.24,81.47,64.14,100.0,59.44,81.99,8,58.75,58.93,73.28,0.0471,0
APP-0005,生命科学,5,387,10,5,2,双一流/国家级平台,无,青年,75.42,61.35,71.77,70.29,50.93,52.95,66.7,74.77,89.38,8,62.36,55.25,46.34,0.01971,0
APP-0006,交叉学科,12,486,18,15,1,省部级重点单位,短期交流,中青年,95.75,70.42,78.24,86.54,67.15,76.03,75.4,82.47,75.49,4,35.16,77.2,79.31,0.76327,1
APP-0007,管理科学,4,334,11,13,2,省部级重点单位,短期交流,中青年,60.96,54.51,66.94,70.13,81.32,72.23,93.1,72.94,78.64,2,25.68,78.52,49.35,0.0232,0
APP-0008,管理科学,8,533,3,2,0,省部级重点单位,无,青年,60.94,68.19,54.84,71.45,83.86,81.54,76.89,85.91,66.47,1,24.6,73.86,70.99,0.05551,0
APP-0009,生命科学,7,124,12,11,3,普通高校/机构,无,中青年,83.11,91.62,68.99,73.88,86.05,84.26,60.57,79.94,74.83,12,97.66,65.6,55.63,0.91132,1
APP-0010,信息科学,2,38,3,1,0,省部级重点单位,短期交流,青年,57.31,85.1,88.13,85.29,67.68,59.96,50.51,54.27,82.03,8,39.45,42.12,86.51,0.08893,0
APP-0011,信息科学,7,27,14,16,2,普通高校/机构,无,中青年,73.52,71.89,81.47,64.04,90.64,89.36,97.2,67.83,83.74,5,57.3,48.48,76.43,0.14576,0
APP-0012,交叉学科,7,120,14,6,0,普通高校/机构,长期经历,中青年,92.13,32.29,67.56,50.76,55.48,69.76,51.94,63.27,65.14,9,65.19,33.36,52.23,0.01624,0
APP-0013,工程技术,7,492,16,22,3,省部级重点单位,短期交流,资深,48.8,60.82,98.71,48.27,42.08,81.29,46.57,81.3,76.89,4,55.58,57.97,57.44,0.03634,0
APP-0014,交叉学科,8,102,15,5,0,省部级重点单位,短期交流,青年,77.23,71.43,100.0,77.63,61.56,70.86,29.74,76.92,83.6,5,52.91,54.36,100.0,0.32988,0
APP-0015,信息科学,5,105,11,7,3,双一流/国家级平台,无,青年,87.75,66.98,60.8,71.9,85.13,85.07,21.6,71.91,96.08,9,52.47,52.49,42.56,0.91858,1
APP-0016,信息科学,6,96,12,6,0,普通高校/机构,短期交流,青年,71.66,70.46,64.31,65.67,48.62,45.65,32.4,85.2,73.55,7,65.6,67.03,51.76,0.10554,0
APP-0017,工程技术,9,245,14,9,2,普通高校/机构,长期经历,中青年,59.95,73.4,78.4,61.38,42.48,82.86,32.8,42.01,86.9,5,35.2,50.17,52.59,0.05883,0
APP-0018,生命科学,10,484,12,6,1,双一流/国家级平台,无,青年,68.59,62.53,54.31,71.35,38.47,64.02,37.5,60.95,76.38,9,47.19,55.87,44.3,0.02911,0
APP-0019,交叉学科,6,51,21,16,1,普通高校/机构,无,中青年,61.1,69.89,80.74,71.73,77.78,74.88,62.25,62.23,77.54,6,9.93,53.25,46.08,0.07314,0
APP-0020,工程技术,10,87,7,7,1,普通高校/机构,无,青年,72.9,67.91,69.52,75.24,42.84,88.94,49.76,73.78,73.22,7,18.74,61.43,62.15,0.07497,0
APP-0021,管理科学,11,599,7,3,0,普通高校/机构,无,青年,68.4,60.16,73.57,54.59,74.78,64.36,70.22,78.29,71.56,9,30.04,68.56,72.1,0.01753,0
APP-0022,信息科学,11,367,7,6,1,省部级重点单位,短期交流,中青年,65.33,95.85,59.37,46.06,60.75,62.48,53.02,69.98,77.25,4,73.07,37.8,36.92,0.07945,0
APP-0023,交叉学科,10,177,7,9,0,双一流/国家级平台,无,中青年,78.06,63.33,56.18,57.12,53.67,69.54,53.58,50.28,92.48,6,50.55,70.16,55.48,0.0845,0
APP-0024,交叉学科,19,1128,22,25,4,省部级重点单位,无,资深,92.53,38.44,38.22,51.44,50.02,68.78,46.54,76.1,74.45,2,69.95,66.76,50.33,0.02634,0
APP-0025,管理科学,11,94,20,13,1,省部级重点单位,无,中青年,76.26,94.97,90.27,50.76,69.3,61.4,88.94,71.92,72.89,3,63.7,69.54,44.1,0.31105,0
APP-0026,生命科学,10,385,16,16,3,普通高校/机构,无,中青年,89.47,58.15,82.12,89.41,53.93,75.28,51.17,47.97,84.09,6,61.2,64.4,80.93,0.83661,1
APP-0027,工程技术,18,339,25,17,2,普通高校/机构,无,中青年,92.52,82.6,78.1,39.53,65.92,75.9,72.07,65.57,82.05,5,37.12,68.51,50.99,0.18462,1
APP-0028,生命科学,14,418,22,14,2,省部级重点单位,长期经历,中青年,64.37,60.47,73.22,75.11,72.42,79.56,26.36,75.61,81.32,4,57.5,54.52,40.71,0.3868,0
APP-0029,生命科学,6,29,17,4,0,普通高校/机构,短期交流,青年,75.57,77.97,33.44,80.79,75.8,64.17,45.13,94.8,84.54,5,61.09,69.98,78.96,0.12872,0
APP-0030,管理科学,6,116,17,9,2,普通高校/机构,无,中青年,66.48,69.33,56.73,81.84,80.95,62.67,90.15,53.66,71.9,3,100.0,82.6,85.27,0.1329,0
APP-0031,管理科学,7,252,23,15,0,普通高校/机构,短期交流,中青年,52.73,84.0,64.16,72.6,68.64,72.58,63.7,81.85,73.01,8,49.08,53.08,68.04,0.0223,0
APP-0032,交叉学科,7,150,7,1,0,普通高校/机构,无,青年,76.62,67.01,51.78,86.16,49.2,71.06,22.01,53.85,91.86,14,70.64,53.74,48.01,0.27346,0
APP-0033,信息科学,8,393,10,6,2,省部级重点单位,无,中青年,58.32,60.83,42.6,92.18,73.45,71.29,29.36,50.94,80.54,3,53.52,73.35,59.28,0.07824,0
APP-0034,信息科学,6,305,16,15,3,省部级重点单位,无,中青年,78.3,73.6,53.34,65.07,76.5,65.51,82.04,51.83,87.96,6,41.95,52.03,52.86,0.04325,0
APP-0035,工程技术,13,142,13,10,2,普通高校/机构,长期经历,中青年,51.77,64.65,68.74,74.82,63.1,77.96,51.77,79.08,94.24,9,73.39,49.05,63.16,0.22886,0
APP-0036,生命科学,6,236,10,6,1,省部级重点单位,短期交流,青年,74.22,42.99,68.74,85.59,61.39,62.69,44.5,71.95,90.46,8,93.83,69.6,76.17,0.57675,1
APP-0037,生命科学,10,110,15,11,6,省部级重点单位,短期交流,中青年,51.58,61.58,81.61,57.79,100.0,72.53,34.42,65.28,68.3,6,61.24,54.25,63.57,0.35108,1
APP-0038,工程技术,7,162,19,22,5,省部级重点单位,无,资深,80.76,100.0,98.95,65.82,45.31,70.32,49.66,76.87,80.84,4,42.34,83.99,63.94,0.62524,1
APP-0039,信息科学,2,101,4,5,1,双一流/国家级平台,无,青年,66.89,44.5,78.29,60.86,73.9,73.6,78.28,70.61,92.41,3,65.35,53.61,55.28,0.03809,0
APP-0040,工程技术,14,164,12,7,1,普通高校/机构,短期交流,青年,65.63,73.37,65.37,74.99,82.74,88.22,36.0,71.66,87.23,5,61.59,47.26,75.3,0.3758,1
APP-0041,信息科学,7,260,6,4,0,双一流/国家级平台,无,青年,86.64,66.6,95.0,44.32,60.54,58.23,47.49,65.45,83.84,9,100.0,61.91,70.26,0.52699,1
APP-0042,交叉学科,10,151,9,7,0,普通高校/机构,长期经历,青年,67.82,95.71,44.27,87.68,63.3,45.3,61.99,54.59,65.6,9,70.84,69.84,32.75,0.03319,0
APP-0043,管理科学,11,156,23,25,1,普通高校/机构,短期交流,资深,73.44,54.45,36.82,75.94,59.58,66.87,29.21,95.37,75.83,6,37.33,67.77,33.71,0.02838,0
APP-0044,信息科学,4,161,12,12,2,普通高校/机构,无,中青年,69.42,71.42,54.7,76.67,66.0,60.18,31.3,91.01,82.69,8,81.49,71.7,58.36,0.63104,0
APP-0045,交叉学科,7,91,13,6,0,省部级重点单位,短期交流,青年,78.6,79.61,80.18,38.28,80.39,37.85,50.13,93.85,67.74,7,71.51,52.04,80.5,0.41902,0
APP-0046,管理科学,6,78,5,1,0,普通高校/机构,长期经历,青年,85.56,67.49,70.53,55.48,62.83,94.96,56.46,61.91,89.94,9,74.71,82.44,83.83,0.21955,1
APP-0047,信息科学,15,590,33,33,3,普通高校/机构,无,资深,82.86,59.25,51.08,88.38,100.0,80.72,36.34,59.77,80.82,8,64.9,32.2,76.97,0.13439,0
APP-0048,信息科学,7,167,11,7,1,省部级重点单位,短期交流,青年,65.93,69.69,57.09,66.69,58.76,82.01,59.46,63.78,62.2,4,76.17,47.94,61.44,0.07385,0
APP-0049,管理科学,4,40,9,6,2,普通高校/机构,长期经历,中青年,87.72,65.67,49.38,46.59,88.04,70.57,71.33,86.11,76.33,6,64.81,62.69,88.9,0.05045,0
APP-0050,生命科学,8,303,10,6,0,普通高校/机构,无,青年,60.09,65.63,49.38,71.88,74.7,79.05,10.53,70.0,79.14,9,50.91,49.45,51.72,0.16493,0
APP-0051,生命科学,3,64,1,1,0,普通高校/机构,长期经历,青年,62.35,83.03,91.27,77.83,67.74,68.93,65.61,61.85,80.7,9,58.68,56.43,58.2,0.07636,0
APP-0052,生命科学,7,63,13,10,0,普通高校/机构,无,中青年,70.34,75.64,65.85,75.91,89.53,83.77,38.61,75.46,96.2,4,53.68,44.33,39.84,0.26784,0
APP-0053,管理科学,4,20,11,6,0,普通高校/机构,短期交流,青年,85.61,77.72,94.54,67.04,40.4,76.27,83.7,58.95,87.78,5,62.83,58.25,58.13,0.07801,0
APP-0054,工程技术,7,281,15,10,2,普通高校/机构,短期交流,中青年,56.79,74.62,54.65,83.76,72.8,73.56,91.59,49.67,68.35,4,57.59,70.34,49.35,0.05489,0
APP-0055,管理科学,7,89,5,6,1,普通高校/机构,短期交流,青年,83.59,83.44,75.37,59.87,54.54,74.47,52.53,71.94,67.1,5,49.71,52.36,90.14,0.12515,0
APP-0056,管理科学,9,86,9,12,2,省部级重点单位,无,中青年,71.29,88.26,71.41,76.02,59.02,91.59,37.1,62.26,79.33,3,52.37,46.18,86.8,0.68973,0
APP-0057,信息科学,8,264,9,8,2,双一流/国家级平台,短期交流,中青年,66.36,65.99,81.2,70.76,58.27,76.01,77.58,69.79,83.26,10,55.93,53.7,65.08,0.26984,0
APP-0058,工程技术,12,415,17,10,2,省部级重点单位,无,中青年,86.27,81.47,71.82,67.27,50.58,61.64,46.63,29.73,91.92,4,20.38,81.87,71.94,0.63321,1
APP-0059,生命科学,4,61,7,2,0,省部级重点单位,无,青年,61.57,51.85,82.78,64.07,39.56,78.03,87.85,56.62,99.3,6,76.49,81.72,53.73,0.0203,0
APP-0060,生命科学,6,250,12,14,2,双一流/国家级平台,无,中青年,100.0,38.46,76.31,64.53,72.22,79.87,45.02,69.32,99.84,4,62.96,53.39,20.88,0.4425,1
APP-0061,工程技术,12,935,21,28,3,双一流/国家级平台,短期交流,资深,69.7,95.57,51.63,69.42,64.95,72.26,37.46,47.25,77.58,6,43.77,71.15,51.04,0.37741,0
APP-0062,工程技术,4,245,5,3,0,省部级重点单位,无,青年,73.95,65.33,78.99,65.19,61.19,73.37,97.32,47.76,91.35,6,67.82,61.67,76.72,0.03951,0
APP-0063,工程技术,1,104,3,1,0,双一流/国家级平台,无,青年,92.06,73.53,66.45,78.53,78.15,61.21,62.78,70.58,86.26,10,45.84,85.11,71.45,0.10285,1
APP-0064,管理科学,9,235,19,16,2,双一流/国家级平台,长期经历,资深,74.29,52.85,56.35,62.03,73.23,75.16,82.44,80.52,71.09,6,45.84,65.45,57.33,0.09617,0
APP-0065,工程技术,3,63,9,2,0,省部级重点单位,无,青年,87.46,52.2,78.41,89.39,61.73,59.43,58.56,56.62,63.12,7,63.49,58.37,76.57,0.10569,0
APP-0066,工程技术,4,98,11,13,1,省部级重点单位,无,中青年,46.61,60.02,81.82,61.45,100.0,70.99,48.05,66.07,83.44,7,84.61,90.8,56.0,0.69633,0
APP-0067,工程技术,11,304,14,9,2,普通高校/机构,无,中青年,66.25,79.0,60.75,80.96,82.29,65.97,0.0,66.41,67.05,5,61.6,45.37,44.59,0.71911,1
APP-0068,信息科学,7,69,8,1,0,普通高校/机构,无,青年,77.16,62.77,62.74,81.52,100.0,85.79,70.23,46.57,73.49,5,40.48,67.75,76.57,0.22935,0
APP-0069,生命科学,7,95,10,12,0,省部级重点单位,短期交流,中青年,86.06,65.3,47.19,71.16,59.36,92.6,51.94,87.76,75.15,5,48.96,86.59,53.6,0.15943,0
APP-0070,信息科学,10,83,14,13,2,省部级重点单位,无,中青年,82.01,59.58,40.93,70.0,70.0,60.27,56.03,67.26,84.19,4,72.98,73.99,81.45,0.20079,0
APP-0071,生命科学,4,119,8,3,0,普通高校/机构,无,青年,80.79,86.32,64.37,59.52,46.19,73.94,71.82,67.42,94.81,2,64.09,48.27,30.04,0.01038,0
APP-0072,信息科学,16,336,31,34,6,省部级重点单位,长期经历,资深,85.79,82.16,79.88,62.28,60.71,70.28,61.21,75.59,82.13,6,75.19,47.3,54.32,0.36581,1
APP-0073,交叉学科,8,114,3,4,0,省部级重点单位,短期交流,青年,78.18,63.22,59.4,71.86,56.66,79.57,31.13,46.6,76.61,10,63.87,36.65,74.15,0.29516,0
APP-0074,信息科学,8,297,10,7,3,双一流/国家级平台,短期交流,青年,44.14,79.58,89.42,68.41,100.0,75.15,57.25,83.8,61.32,6,71.42,88.69,72.4,0.84814,1
APP-0075,生命科学,15,152,23,21,1,普通高校/机构,长期经历,资深,90.75,66.57,64.92,84.38,54.92,69.35,47.95,85.76,86.58,5,96.26,41.61,60.24,0.43434,1
APP-0076,信息科学,10,134,12,2,0,普通高校/机构,长期经历,青年,61.11,65.27,64.98,63.09,62.26,75.13,64.82,72.11,82.29,9,28.95,74.84,68.88,0.00884,0
APP-0077,信息科学,12,409,16,17,1,省部级重点单位,无,资深,76.08,69.3,63.66,63.88,42.74,71.42,44.39,76.93,76.5,4,100.0,36.32,66.38,0.18919,0
