project_id,discipline,prior_output,academic_reputation,team_diversity,proposal_innovation,budget_rationality,evidence_traceability,explainability,task_risk,ai_literacy,org_norm_clarity,human_review_score,ai_recommendation,trust_score,adoption_probability,funding_decision
P001,AI,88,85,76,90,82,91,89,0.42,0.86,0.82,87,0.91,0.88,0.87,1
P002,Biology,72,68,74,70,76,73,71,0.58,0.61,0.64,71,0.69,0.67,0.63,1
P003,Physics,61,59,65,72,63,55,58,0.77,0.54,0.48,60,0.52,0.46,0.39,0
P004,Medicine,93,91,82,88,85,94,92,0.36,0.88,0.90,92,0.95,0.93,0.94,1
P005,Education,55,57,69,60,62,58,61,0.64,0.59,0.56,58,0.57,0.53,0.48,0
P006,Materials,79,81,73,84,78,80,77,0.49,0.74,0.76,80,0.83,0.79,0.78,1
P007,Chemistry,68,64,71,75,66,69,65,0.62,0.67,0.60,66,0.64,0.62,0.57,0
P008,ComputerScience,90,87,85,92,88,90,93,0.33,0.92,0.88,91,0.96,0.95,0.96,1
P009,Agriculture,63,61,67,66,71,60,62,0.59,0.58,0.63,64,0.61,0.58,0.54,0
P010,Economics,74,78,72,79,75,77,74,0.46,0.79,0.73,77,0.81,0.76,0.74,1
P011,Environment,82,79,80,83,81,84,82,0.41,0.81,0.84,84,0.88,0.86,0.85,1
P012,Medicine,58,63,66,59,68,57,60,0.71,0.57,0.52,61,0.55,0.49,0.42,0
P013,Physics,87,84,79,86,83,88,85,0.39,0.83,0.86,86,0.90,0.89,0.88,1
P014,Sociology,66,62,70,68,65,64,67,0.55,0.64,0.69,68,0.66,0.64,0.61,0
P015,AI,95,93,88,94,90,96,95,0.28,0.94,0.92,94,0.98,0.97,0.98,1
P016,Biology,71,73,72,74,77,75,73,0.52,0.72,0.71,74,0.76,0.74,0.72,1
P017,Chemistry,57,60,63,61,59,56,58,0.73,0.51,0.49,59,0.50,0.44,0.36,0
P018,Engineering,84,82,81,87,80,86,84,0.44,0.85,0.80,85,0.89,0.87,0.86,1
P019,Humanities,52,55,64,58,61,54,57,0.68,0.56,0.58,56,0.53,0.47,0.41,0
P020,DataScience,89,86,84,91,87,92,90,0.31,0.90,0.89,90,0.97,0.94,0.95,1
P021,Medicine,76,74,78,80,79,81,78,0.47,0.77,0.79,79,0.84,0.80,0.79,1
P022,Education,60,58,68,63,64,59,62,0.61,0.60,0.57,61,0.58,0.55,0.50,0
P023,AI,86,89,83,90,84,89,91,0.35,0.91,0.87,89,0.94,0.92,0.93,1
P024,Materials,69,67,70,73,72,68,69,0.57,0.66,0.65,70,0.68,0.65,0.60,0
P025,Economics,81,83,77,82,80,83,81,0.43,0.82,0.78,82,0.87,0.84,0.83,1
P026,Agriculture,56,54,62,57,60,55,56,0.69,0.53,0.50,55,0.51,0.45,0.38,0
P027,ComputerScience,92,90,86,93,89,94,94,0.30,0.93,0.91,93,0.99,0.98,0.98,1
P028,Sociology,64,66,71,65,67,63,66,0.56,0.65,0.67,66,0.65,0.63,0.59,0
P029,Physics,78,80,75,81,78,82,79,0.45,0.80,0.77,80,0.85,0.82,0.81,1
P030,Engineering,73,71,74,76,74,72,75,0.51,0.73,0.72,75,0.78,0.75,0.73,1
