application_id,discipline,predicted_funding_probability,ai_recommendation,confidence,project_risk,fairness_audit_share,routing,routing_reason,true_label,true_funding_probability
APP-0001,管理科学,0.2086,建议不资助,0.58279,36.5,0.04394,regular_review,进入常规人工复核,0,0.13394
APP-0002,信息科学,0.41373,建议不资助,0.17253,64.71,0.09179,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.48966
APP-0003,交叉学科,0.45244,建议不资助,0.09513,39.09,0.05457,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.54215
APP-0004,管理科学,0.18511,建议不资助,0.62978,100.0,0.05825,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.0471
APP-0005,生命科学,0.11091,建议不资助,0.77819,66.7,0.10469,regular_review,进入常规人工复核,0,0.01971
APP-0006,交叉学科,0.68886,建议资助,0.37771,75.4,0.03667,regular_review,进入常规人工复核,1,0.76327
APP-0007,管理科学,0.02856,建议不资助,0.94288,93.1,0.03765,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.0232
APP-0008,管理科学,0.03161,建议不资助,0.93678,76.89,0.03113,regular_review,进入常规人工复核,0,0.05551
APP-0009,生命科学,0.89153,建议资助,0.78306,60.57,0.05256,regular_review,进入常规人工复核,1,0.91132
APP-0010,信息科学,0.16107,建议不资助,0.67786,50.51,0.03364,fast_track,高置信且解释风险较低，可进入快速复核,0,0.08893
APP-0011,信息科学,0.27044,建议不资助,0.45911,97.2,0.0818,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.14576
APP-0012,交叉学科,0.0479,建议不资助,0.9042,51.94,0.05921,fast_track,高置信且解释风险较低，可进入快速复核,0,0.01624
APP-0013,工程技术,0.05635,建议不资助,0.88731,46.57,0.02747,fast_track,高置信且解释风险较低，可进入快速复核,0,0.03634
APP-0014,交叉学科,0.3891,建议不资助,0.2218,29.74,0.06043,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.32988
APP-0015,信息科学,0.61205,建议资助,0.22411,21.6,0.08292,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.91858
APP-0016,信息科学,0.07153,建议不资助,0.85694,32.4,0.0735,fast_track,高置信且解释风险较低，可进入快速复核,0,0.10554
APP-0017,工程技术,0.10391,建议不资助,0.79218,32.8,0.07315,fast_track,高置信且解释风险较低，可进入快速复核,0,0.05883
APP-0018,生命科学,0.07243,建议不资助,0.85515,37.5,0.08386,fast_track,高置信且解释风险较低，可进入快速复核,0,0.02911
APP-0019,交叉学科,0.04124,建议不资助,0.91752,62.25,0.05901,regular_review,进入常规人工复核,0,0.07314
APP-0020,工程技术,0.03467,建议不资助,0.93066,49.76,0.06078,fast_track,高置信且解释风险较低，可进入快速复核,0,0.07497
APP-0021,管理科学,0.0652,建议不资助,0.86959,70.22,0.04969,regular_review,进入常规人工复核,0,0.01753
APP-0022,信息科学,0.08262,建议不资助,0.83476,53.02,0.04771,fast_track,高置信且解释风险较低，可进入快速复核,0,0.07945
APP-0023,交叉学科,0.09012,建议不资助,0.81977,53.58,0.1291,fast_track,高置信且解释风险较低，可进入快速复核,0,0.0845
APP-0024,交叉学科,0.01486,建议不资助,0.97027,46.54,0.01561,fast_track,高置信且解释风险较低，可进入快速复核,0,0.02634
APP-0025,管理科学,0.19364,建议不资助,0.61273,88.94,0.0383,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.31105
APP-0026,生命科学,0.6597,建议资助,0.31941,51.17,0.05874,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.83661
APP-0027,工程技术,0.33078,建议不资助,0.33843,72.07,0.0478,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.18462
APP-0028,生命科学,0.3724,建议不资助,0.25519,26.36,0.06738,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.3868
APP-0029,生命科学,0.08518,建议不资助,0.82965,45.13,0.04708,fast_track,高置信且解释风险较低，可进入快速复核,0,0.12872
APP-0030,管理科学,0.33442,建议不资助,0.33115,90.15,0.04869,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.1329
APP-0031,管理科学,0.19844,建议不资助,0.60311,63.7,0.08481,regular_review,进入常规人工复核,0,0.0223
APP-0032,交叉学科,0.2037,建议不资助,0.5926,22.01,0.05996,regular_review,进入常规人工复核,0,0.27346
APP-0033,信息科学,0.05373,建议不资助,0.89254,29.36,0.0341,fast_track,高置信且解释风险较低，可进入快速复核,0,0.07824
APP-0034,信息科学,0.09596,建议不资助,0.80808,82.04,0.05555,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.04325
APP-0035,工程技术,0.28179,建议不资助,0.43641,51.77,0.10784,regular_review,进入常规人工复核,0,0.22886
APP-0036,生命科学,0.50701,建议资助,0.01402,44.5,0.03819,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.57675
APP-0037,生命科学,0.40491,建议不资助,0.19018,34.42,0.04737,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.35108
APP-0038,工程技术,0.61684,建议资助,0.23369,49.66,0.03262,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.62524
APP-0039,信息科学,0.0397,建议不资助,0.92061,78.28,0.07009,regular_review,进入常规人工复核,0,0.03809
APP-0040,工程技术,0.33996,建议不资助,0.32009,36.0,0.0814,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.3758
APP-0041,信息科学,0.63408,建议资助,0.26816,47.49,0.05293,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.52699
APP-0042,交叉学科,0.15567,建议不资助,0.68867,61.99,0.06559,regular_review,进入常规人工复核,0,0.03319
APP-0043,管理科学,0.0337,建议不资助,0.9326,29.21,0.04589,fast_track,高置信且解释风险较低，可进入快速复核,0,0.02838
APP-0044,信息科学,0.48404,建议不资助,0.03193,31.3,0.08249,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.63104
APP-0045,交叉学科,0.12018,建议不资助,0.75965,50.13,0.03104,fast_track,高置信且解释风险较低，可进入快速复核,0,0.41902
APP-0046,管理科学,0.35637,建议不资助,0.28725,56.46,0.07272,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.21955
APP-0047,信息科学,0.30746,建议不资助,0.38508,36.34,0.04452,regular_review,进入常规人工复核,0,0.13439
APP-0048,信息科学,0.12005,建议不资助,0.75991,59.46,0.07256,fast_track,高置信且解释风险较低，可进入快速复核,0,0.07385
APP-0049,管理科学,0.07961,建议不资助,0.84077,71.33,0.05959,regular_review,进入常规人工复核,0,0.05045
APP-0050,生命科学,0.15928,建议不资助,0.68144,10.53,0.07042,fast_track,高置信且解释风险较低，可进入快速复核,0,0.16493
APP-0051,生命科学,0.0884,建议不资助,0.82321,65.61,0.06175,regular_review,进入常规人工复核,0,0.07636
APP-0052,生命科学,0.30889,建议不资助,0.38221,38.61,0.08783,regular_review,进入常规人工复核,0,0.26784
APP-0053,管理科学,0.11,建议不资助,0.77999,83.7,0.04725,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.07801
APP-0054,工程技术,0.15738,建议不资助,0.68523,91.59,0.07464,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.05489
APP-0055,管理科学,0.21897,建议不资助,0.56206,52.53,0.06663,regular_review,进入常规人工复核,0,0.12515
APP-0056,管理科学,0.39685,建议不资助,0.2063,37.1,0.05949,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.68973
APP-0057,信息科学,0.16242,建议不资助,0.67517,77.58,0.11259,regular_review,进入常规人工复核,0,0.26984
APP-0058,工程技术,0.47471,建议不资助,0.05059,46.63,0.03882,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.63321
APP-0059,生命科学,0.04659,建议不资助,0.90682,87.85,0.0304,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.0203
APP-0060,生命科学,0.64891,建议资助,0.29781,45.02,0.06205,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.4425
APP-0061,工程技术,0.4255,建议不资助,0.14899,37.46,0.07839,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.37741
APP-0062,工程技术,0.14645,建议不资助,0.70709,97.32,0.0548,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.03951
APP-0063,工程技术,0.45139,建议不资助,0.09721,62.78,0.07705,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.10285
APP-0064,管理科学,0.10247,建议不资助,0.79505,82.44,0.09864,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.09617
APP-0065,工程技术,0.34588,建议不资助,0.30825,58.56,0.03511,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.10569
APP-0066,工程技术,0.41017,建议不资助,0.17966,48.05,0.04236,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.69633
APP-0067,工程技术,0.52683,建议资助,0.05366,0.0,0.07198,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.71911
APP-0068,信息科学,0.10575,建议不资助,0.7885,70.23,0.06804,regular_review,进入常规人工复核,0,0.22935
APP-0069,生命科学,0.29029,建议不资助,0.41943,51.94,0.0524,regular_review,进入常规人工复核,0,0.15943
APP-0070,信息科学,0.09089,建议不资助,0.81821,56.03,0.03673,fast_track,高置信且解释风险较低，可进入快速复核,0,0.20079
APP-0071,生命科学,0.04381,建议不资助,0.91238,71.82,0.05935,regular_review,进入常规人工复核,0,0.01038
APP-0072,信息科学,0.34512,建议不资助,0.30976,61.21,0.037,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.36581
APP-0073,交叉学科,0.18965,建议不资助,0.6207,31.13,0.05148,regular_review,进入常规人工复核,0,0.29516
APP-0074,信息科学,0.53193,建议资助,0.06387,57.25,0.08205,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.84814
APP-0075,生命科学,0.58886,建议资助,0.17772,47.95,0.05409,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.43434
APP-0076,信息科学,0.03606,建议不资助,0.92788,64.82,0.08631,regular_review,进入常规人工复核,0,0.00884
APP-0077,信息科学,0.48228,建议不资助,0.03544,44.39,0.03541,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.18919
APP-0078,工程技术,0.35266,建议不资助,0.29469,40.63,0.0688,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.49045
APP-0079,工程技术,0.4065,建议不资助,0.18699,39.12,0.07207,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.19075
APP-0080,管理科学,0.25996,建议不资助,0.48007,32.32,0.09051,regular_review,进入常规人工复核,0,0.05839
APP-0081,工程技术,0.5741,建议资助,0.14821,39.55,0.07494,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.23987
APP-0082,信息科学,0.20249,建议不资助,0.59502,58.64,0.10912,regular_review,进入常规人工复核,0,0.06824
APP-0083,管理科学,0.2315,建议不资助,0.53701,43.79,0.05767,regular_review,进入常规人工复核,0,0.41229
APP-0084,生命科学,0.22283,建议不资助,0.55434,26.49,0.07155,regular_review,进入常规人工复核,0,0.06437
APP-0085,生命科学,0.37016,建议不资助,0.25969,65.79,0.04625,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.3417
APP-0086,生命科学,0.41436,建议不资助,0.17128,47.24,0.10611,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,0,0.19469
APP-0087,管理科学,0.14575,建议不资助,0.70851,65.36,0.05769,regular_review,进入常规人工复核,0,0.03581
APP-0088,工程技术,0.15347,建议不资助,0.69305,45.59,0.02912,fast_track,高置信且解释风险较低，可进入快速复核,0,0.17552
APP-0089,生命科学,0.24347,建议不资助,0.51307,38.56,0.07065,regular_review,进入常规人工复核,0,0.7706
APP-0090,工程技术,0.54719,建议资助,0.09439,15.14,0.07243,expert_review,低置信、高风险或存在偏差审计信号，建议专家重点审查,1,0.77776
